filename,display_name,hull_hp_normalized,fuse_penetration_mult,component_penetration_mult,critical_explosion_chance,armor_hp,armor_resist_physical,armor_resist_energy,armor_resist_distortion,thruster_count,thruster_main_hp,thruster_retro_hp,thruster_mav_hp,thruster_vtol_hp,thruster_total_hp,turret_count,turret_total_hp,powerplant_count,powerplant_total_hp,cooler_count,cooler_total_hp,shield_gen_count,shield_gen_total_hp,qd_count,qd_total_hp,weapon_hardpoints,missile_hardpoints,total_hardpoints
aegs_avenger_warlock,Aegis avenger warlock,1650,0.7,0.4,0.2,1500,0.85,1.3,1.0,11,9100,16200,56800,0,82100,0,0,1,270,2,360,2,260,1,150,4,3,59
aegs_avenger_warlock_pu_ai_civ,Aegis avenger warlock pu ai civ,1650,0.7,0.4,1.0,1500,0.85,1.3,1.0,11,9100,16200,56800,0,82100,0,0,1,270,2,360,2,260,1,150,4,3,59
aegs_avenger_warlock_pu_ai_crim,Aegis avenger warlock pu ai crim,1650,0.7,0.4,1.0,1500,0.85,1.3,1.0,11,9100,16200,56800,0,82100,0,0,1,270,2,360,2,260,1,150,4,3,59
aegs_eclipse,Aegis eclipse,10000,0.0,0.5,0.2,6000,0.85,1.3,1.0,12,25000,23000,84000,0,132000,0,0,1,190,2,240,2,300,1,130,1,4,55
aegs_eclipse_ai_override,Aegis eclipse ai override,10000,0.0,0.5,1.0,6000,0.85,1.3,1.0,12,25000,23000,84000,0,132000,0,0,1,190,2,240,2,300,1,130,1,4,55
aegs_eclipse_bis2950,Aegis eclipse bis2950,10000,0.0,0.5,0.2,6000,0.85,1.3,1.0,12,25000,23000,84000,0,132000,0,0,1,190,2,240,2,300,1,130,1,4,55
aegs_eclipse_pu_ai_crim,Aegis eclipse pu ai crim,10000,0.0,0.5,1.0,6000,0.85,1.3,1.0,12,25000,23000,84000,0,132000,0,0,1,190,2,240,2,300,1,130,1,4,55
aegs_eclipse_pu_ai_uee,Aegis eclipse pu ai uee,10000,0.0,0.5,1.0,6000,0.85,1.3,1.0,12,25000,23000,84000,0,132000,0,0,1,190,2,240,2,300,1,130,1,4,55
aegs_gladius,Aegis gladius,2134,0.0,0.4,0.2,1410,0.85,1.3,1.0,12,23000,21000,76000,0,120000,0,0,1,270,2,360,2,420,1,240,2,7,63
aegs_gladius_crocodile,Aegis gladius crocodile,2134,0.0,0.4,0.2,1410,0.85,1.3,1.0,12,23000,21000,76000,0,120000,0,0,1,270,2,360,2,420,1,240,2,7,63
aegs_gladius_dunlevy,Aegis gladius dunlevy,2134,0.0,0.4,0.2,1410,0.85,1.3,1.0,12,23000,21000,76000,0,120000,0,0,0,0,0,0,0,0,1,240,2,7,58
aegs_gladius_ea_ai_pir,Aegis gladius ea ai pir,2134,0.0,0.4,1.0,1410,0.85,1.3,1.0,12,23000,21000,76000,0,120000,0,0,1,270,2,360,2,420,1,240,5,7,67
aegs_gladius_ea_ai_pir_elite,Aegis gladius ea ai pir elite,2134,0.0,0.4,1.0,1410,0.85,1.3,1.0,12,23000,21000,76000,0,120000,0,0,1,240,2,420,2,260,1,150,2,7,64
aegs_gladius_pir,Aegis gladius pir,2134,0.0,0.4,0.2,1410,0.85,1.3,1.0,12,23000,21000,76000,0,120000,0,0,1,240,2,420,2,360,1,150,2,9,66
aegs_gladius_pu_ai_civ,Aegis gladius pu ai civ,2134,0.0,0.4,1.0,1410,0.85,1.3,1.0,12,23000,21000,76000,0,120000,0,0,1,270,2,360,2,420,1,240,5,7,66
aegs_gladius_pu_ai_crim,Aegis gladius pu ai crim,2134,0.0,0.4,1.0,1410,0.85,1.3,1.0,12,23000,21000,76000,0,120000,0,0,1,240,2,420,2,360,1,150,2,9,64
aegs_gladius_pu_ai_sec,Aegis gladius pu ai sec,2134,0.0,0.4,1.0,1410,0.85,1.3,1.0,12,23000,21000,76000,0,120000,0,0,1,270,2,360,2,420,1,240,5,7,66
aegs_gladius_pu_ai_sec_hurstondynamics,Aegis gladius pu ai sec hurstondynamics,2134,0.0,0.4,1.0,1410,0.85,1.3,1.0,12,23000,21000,76000,0,120000,0,0,1,270,2,360,2,420,1,240,5,7,67
aegs_gladius_pu_ai_uee,Aegis gladius pu ai uee,2134,0.0,0.4,1.0,1410,0.85,1.3,1.0,12,23000,21000,76000,0,120000,0,0,1,270,2,360,2,420,1,240,5,7,66
aegs_gladius_pu_ai_xenothreat,Aegis gladius pu ai xenothreat,2134,0.0,0.4,1.0,1410,0.85,1.3,1.0,12,23000,21000,76000,0,120000,0,0,1,270,2,360,2,420,1,240,5,7,67
aegs_gladius_valiant,Aegis gladius valiant,2134,0.0,0.4,0.2,1410,0.85,1.3,1.0,12,23000,21000,76000,0,120000,0,0,1,270,2,360,2,420,1,240,2,9,66
aegs_gladius_valiant_pu_ai_civ,Aegis gladius valiant pu ai civ,2134,0.0,0.4,1.0,1410,0.85,1.3,1.0,12,23000,21000,76000,0,120000,0,0,1,270,2,360,2,420,1,240,5,7,67
aegs_gladius_valiant_pu_ai_crim,Aegis gladius valiant pu ai crim,2134,0.0,0.4,1.0,1410,0.85,1.3,1.0,12,23000,21000,76000,0,120000,0,0,1,270,2,360,2,420,1,240,5,7,67
aegs_hammerhead,Aegis hammerhead,80000,0.7,0.6,0.2,48000,0.85,1.3,1.0,18,100000,46800,240000,0,386800,0,0,2,4200,2,2600,2,2800,1,1400,1,13,111
aegs_hammerhead_ea_ai_pir,Aegis hammerhead ea ai pir,80000,0.7,0.6,1.0,48000,0.85,1.3,1.0,18,100000,46800,240000,0,386800,0,0,2,4200,2,2600,2,2800,1,1400,1,13,111
aegs_hammerhead_pu_ai_civ,Aegis hammerhead pu ai civ,80000,0.7,0.6,1.0,48000,0.85,1.3,1.0,18,100000,46800,240000,0,386800,0,0,2,4200,2,2600,2,2800,1,1400,1,13,111
aegs_hammerhead_pu_ai_crim,Aegis hammerhead pu ai crim,80000,0.7,0.6,1.0,48000,0.85,1.3,1.0,18,100000,46800,240000,0,386800,0,0,2,4200,2,2600,2,2800,1,1400,1,13,111
aegs_hammerhead_pu_ai_nt,Aegis hammerhead pu ai nt,80000,0.7,0.6,1.0,48000,0.85,1.3,1.0,18,100000,46800,240000,0,386800,0,0,2,4200,2,2600,2,2800,1,1400,1,13,111
aegs_hammerhead_pu_ai_nt_qig,Aegis hammerhead pu ai nt qig,80000,0.7,0.6,1.0,48000,0.85,1.3,1.0,18,100000,46800,240000,0,386800,0,0,2,4200,2,2600,2,2800,1,1400,1,13,112
aegs_hammerhead_pu_ai_uee,Aegis hammerhead pu ai uee,80000,0.7,0.6,1.0,48000,0.85,1.3,1.0,18,100000,46800,240000,0,386800,0,0,2,4200,2,2600,2,2800,1,1400,1,13,111
aegs_hammerhead_pu_ai_xenothreat,Aegis hammerhead pu ai xenothreat,80000,0.7,0.6,1.0,48000,0.85,1.3,1.0,18,100000,46800,240000,0,386800,0,0,2,4200,2,2600,2,2800,1,1400,1,13,112
aegs_hammerhead_showdown,Aegis hammerhead showdown,80000,0.7,0.6,0.2,48000,0.85,1.3,1.0,18,100000,46800,240000,0,386800,0,0,2,4200,2,2600,2,2800,1,1400,1,13,112
aegs_idris_m,Aegis idris m,1100000,0.7,1.0,0.2,2160000,0.85,1.3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aegs_idris_m_pu,Aegis idris m pu,1100000,0.7,1.0,0.2,2160000,0.85,1.3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aegs_idris_m_pu_ai_gencrim_boardedcombat,Aegis idris m pu ai gencrim boardedcombat,1100000,0.7,1.0,1.0,2160000,0.85,1.3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aegs_idris_m_pu_ai_nt,Aegis idris m pu ai nt,1100000,0.7,1.0,1.0,2160000,0.85,1.3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aegs_idris_m_pu_ai_nt_nointerior,Aegis idris m pu ai nt nointerior,1100000,0.7,1.0,1.0,2160000,0.85,1.3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aegs_idris_m_pu_ai_uee,Aegis idris m pu ai uee,1100000,0.7,1.0,1.0,2160000,0.85,1.3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aegs_idris_m_pu_ai_uee_nointerior,Aegis idris m pu ai uee nointerior,1100000,0.7,1.0,1.0,2160000,0.85,1.3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aegs_idris_m_pu_ai_xenothreat,Aegis idris m pu ai xenothreat,1100000,0.7,1.0,1.0,2160000,0.85,1.3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aegs_idris_m_pu_ai_xenothreat_boardedcombat,Aegis idris m pu ai xenothreat boardedcombat,1100000,0.7,1.0,1.0,2160000,0.85,1.3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aegs_idris_m_pu_ai_xenothreat_noneboarded,Aegis idris m pu ai xenothreat noneboarded,1100000,0.7,1.0,1.0,2160000,0.85,1.3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aegs_idris_m_pu_gamemaster,Aegis idris m pu gamemaster,1100000,0.7,1.0,0.2,2160000,0.85,1.3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aegs_idris_m_pu_invictus,Aegis idris m pu invictus,1100000,0.7,1.0,0.2,2160000,0.85,1.3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aegs_idris_p,Aegis idris p,1100000,0.7,1.0,0.2,2160000,0.85,1.3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aegs_idris_p_collector_military,Aegis idris p collector military,1100000,0.7,1.0,0.2,2160000,0.85,1.3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aegs_idris_p_fw_25,Aegis idris p fw 25,1100000,0.7,1.0,1.0,2160000,0.85,1.3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aegs_idris_p_pu_ai_crim,Aegis idris p pu ai crim,1100000,0.7,1.0,1.0,2160000,0.85,1.3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aegs_idris_p_pu_ai_uee,Aegis idris p pu ai uee,1100000,0.7,1.0,1.0,2160000,0.85,1.3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aegs_javelin,Aegis javelin,5000000,0.7,1.0,0.2,3600000,0.85,1.3,1.0,28,880000,800000,400000,0,2080000,9,190000,4,224000,4,400000,4,480000,1,120000,3,11,174
aegs_javelin_pu_ai_uee,Aegis javelin pu ai uee,5000000,0.7,1.0,1.0,3600000,0.85,1.3,1.0,28,880000,800000,400000,0,2080000,9,190000,4,224000,4,400000,4,480000,1,120000,1,11,160
aegs_javelin_pu_ai_uee_fleetweek,Aegis javelin pu ai uee fleetweek,5000000,0.7,1.0,1.0,3600000,0.85,1.3,1.0,28,880000,800000,400000,0,2080000,9,190000,4,224000,4,400000,4,480000,1,120000,3,11,161
aegs_javelin_pu_ai_uee_fleetweek_2021,Aegis javelin pu ai uee fleetweek 2021,5000000,0.7,1.0,1.0,3600000,0.85,1.3,1.0,28,880000,800000,400000,0,2080000,9,190000,4,224000,4,400000,4,480000,1,120000,1,10,141
aegs_reclaimer,Aegis reclaimer,50000,0.7,0.8,0.2,30000,0.85,1.3,1.0,26,58000,168000,481000,0,707000,9,18500,1,6300,1,4100,1,4900,1,1400,7,0,165
aegs_reclaimer_ai_civ_shipboarded,Aegis reclaimer ai civ shipboarded,50000,0.7,0.8,1.0,30000,0.85,1.3,1.0,26,58000,168000,481000,0,707000,9,18500,1,6300,1,4100,1,4900,1,1400,7,0,164
aegs_reclaimer_ai_civ_shipboarded_nocargo,Aegis reclaimer ai civ shipboarded nocargo,50000,0.7,0.8,1.0,30000,0.85,1.3,1.0,26,58000,168000,481000,0,707000,9,18500,1,6300,1,4100,1,4900,1,1400,7,0,164
aegs_reclaimer_bis2024_temp,Aegis reclaimer bis2024 temp,50000,0.7,0.8,0.2,30000,0.85,1.3,1.0,26,58000,168000,481000,0,707000,9,18500,1,6300,1,4100,1,4900,1,1400,7,0,166
aegs_reclaimer_pu_ai_civ,Aegis reclaimer pu ai civ,50000,0.7,0.8,1.0,30000,0.85,1.3,1.0,26,58000,168000,481000,0,707000,9,18500,1,6300,1,4100,1,4900,1,1400,7,0,164
aegs_reclaimer_pu_ai_civ_def,Aegis reclaimer pu ai civ def,50000,0.7,0.8,1.0,30000,0.85,1.3,1.0,26,58000,168000,481000,0,707000,9,18500,1,6300,1,4100,1,4900,1,1400,7,0,164
aegs_reclaimer_pu_ai_crim,Aegis reclaimer pu ai crim,50000,0.7,0.8,1.0,30000,0.85,1.3,1.0,26,58000,168000,481000,0,707000,9,18500,1,6300,1,4100,1,4900,1,1400,7,0,164
aegs_reclaimer_pu_ai_ninetails,Aegis reclaimer pu ai ninetails,50000,0.7,0.8,1.0,30000,0.85,1.3,1.0,26,58000,168000,481000,0,707000,9,18500,1,6300,1,4100,1,4900,1,1400,7,0,165
aegs_reclaimer_pu_hijacked,Aegis reclaimer pu hijacked,50000,0.7,0.8,0.2,30000,0.85,1.3,1.0,26,58000,168000,481000,0,707000,9,18500,1,6300,1,4100,1,4900,1,1400,7,0,164
aegs_reclaimer_pu_hijacked_a,Aegis reclaimer pu hijacked a,50000,0.7,0.8,0.2,30000,0.85,1.3,1.0,26,58000,168000,481000,0,707000,9,18500,1,6300,1,4100,1,4900,1,1400,7,0,164
aegs_reclaimer_pu_hijacked_b,Aegis reclaimer pu hijacked b,50000,0.7,0.8,0.2,30000,0.85,1.3,1.0,26,58000,168000,481000,0,707000,9,18500,1,6300,1,4100,1,4900,1,1400,7,0,164
aegs_reclaimer_pu_hijacked_c,Aegis reclaimer pu hijacked c,50000,0.7,0.8,0.2,30000,0.85,1.3,1.0,26,58000,168000,481000,0,707000,9,18500,1,6300,1,4100,1,4900,1,1400,7,0,164
aegs_reclaimer_showdown,Aegis reclaimer showdown,50000,0.7,0.8,0.2,30000,0.85,1.3,1.0,26,58000,168000,481000,0,707000,9,18500,1,6300,1,4100,1,4900,1,1400,7,0,165
aegs_reclaimer_teach,Aegis reclaimer teach,50000,0.7,0.8,0.2,30000,0.85,1.3,1.0,26,58000,168000,481000,0,707000,9,18500,1,6300,1,4100,1,4900,1,1400,6,0,162
aegs_redeemer,Aegis redeemer,45000,0.7,0.6,0.2,10200,0.85,1.3,1.0,19,140600,57900,255000,28950,482450,1,8500,2,4200,1,1800,6,3480,1,660,2,11,99
aegs_redeemer_pu_ai_civ,Aegis redeemer pu ai civ,45000,0.7,0.6,1.0,10200,0.85,1.3,1.0,19,140600,57900,255000,28950,482450,1,8500,2,4200,1,1800,6,3480,1,660,2,11,99
aegs_redeemer_pu_ai_crim,Aegis redeemer pu ai crim,45000,0.7,0.6,1.0,10200,0.85,1.3,1.0,19,140600,57900,255000,28950,482450,1,8500,2,4200,1,1800,6,3480,1,660,2,11,99
aegs_retaliator,Aegis retaliator,120000,0.7,0.7,0.2,21000,0.85,1.3,1.0,22,37000,34500,192000,93000,356500,5,40000,2,1500,2,980,6,3480,1,660,1,1,106
aegs_retaliator_pu_ai_crim,Aegis retaliator pu ai crim,120000,0.7,0.7,1.0,21000,0.85,1.3,1.0,22,37000,34500,192000,93000,356500,5,40000,2,1500,2,980,6,3480,1,660,1,1,106
aegs_retaliator_pu_ai_mts,Aegis retaliator pu ai mts,120000,0.7,0.7,1.0,21000,0.85,1.3,1.0,22,37000,34500,192000,93000,356500,5,40000,2,1500,2,980,6,3480,1,660,1,1,106
aegs_retaliator_pu_ai_uee,Aegis retaliator pu ai uee,120000,0.7,0.7,1.0,21000,0.85,1.3,1.0,22,37000,34500,192000,93000,356500,5,40000,2,1500,2,980,6,3480,1,660,1,1,106
aegs_sabre,Aegis sabre,3500,0.0,0.4,0.2,2220,0.85,1.3,1.0,12,29000,26900,102000,0,157900,0,0,2,340,2,360,2,260,1,130,4,3,62
aegs_sabre_comet,Aegis sabre comet,3500,0.0,0.4,0.2,2220,0.85,1.3,1.0,12,29000,26900,102000,0,157900,0,0,2,340,2,360,2,260,1,130,4,3,62
aegs_sabre_comet_pu_ai_civ,Aegis sabre comet pu ai civ,3500,0.0,0.4,1.0,2220,0.85,1.3,1.0,12,29000,26900,102000,0,157900,0,0,2,340,2,360,2,260,1,130,4,3,62
aegs_sabre_comet_pu_ai_crim,Aegis sabre comet pu ai crim,3500,0.0,0.4,1.0,2220,0.85,1.3,1.0,12,29000,26900,102000,0,157900,0,0,2,340,2,360,2,260,1,130,4,3,62
aegs_sabre_comet_pu_ai_uee,Aegis sabre comet pu ai uee,3500,0.0,0.4,1.0,2220,0.85,1.3,1.0,12,29000,26900,102000,0,157900,0,0,2,340,2,360,2,260,1,130,4,3,62
aegs_sabre_firebird,Aegis sabre firebird,2500,0.0,0.4,0.2,1500,0.85,1.3,1.0,13,14500,26900,127500,0,168900,0,0,2,410,2,360,2,260,1,130,5,25,94
aegs_sabre_firebird_collector_milt,Aegis sabre firebird collector milt,2500,0.0,0.4,0.2,1500,0.85,1.3,1.0,13,14500,26900,127500,0,168900,0,0,0,0,0,0,0,0,0,0,5,25,83
aegs_sabre_firebird_pu_ai_civ,Aegis sabre firebird pu ai civ,2500,0.0,0.4,1.0,1500,0.85,1.3,1.0,13,14500,26900,127500,0,168900,0,0,2,410,2,360,2,260,1,130,5,25,94
aegs_sabre_firebird_pu_ai_crim,Aegis sabre firebird pu ai crim,2500,0.0,0.4,1.0,1500,0.85,1.3,1.0,13,14500,26900,127500,0,168900,0,0,2,410,2,360,2,260,1,130,5,25,94
aegs_sabre_firebird_pu_ai_ff,Aegis sabre firebird pu ai ff,2500,0.0,0.4,1.0,1500,0.85,1.3,1.0,13,14500,26900,127500,0,168900,0,0,2,410,2,360,2,260,1,130,5,25,94
aegs_sabre_peregrine,Aegis sabre peregrine,2400,0.0,0.4,0.2,1440,0.85,1.3,1.0,13,14500,26900,127500,0,168900,0,0,2,410,2,360,2,260,1,130,3,0,59
aegs_sabre_peregrine_collector_competition,Aegis sabre peregrine collector competition,2400,0.0,0.4,0.2,1440,0.85,1.3,1.0,13,14500,26900,127500,0,168900,0,0,0,0,0,0,0,0,0,0,3,0,52
aegs_sabre_pu_ai_civ,Aegis sabre pu ai civ,3500,0.0,0.4,1.0,2220,0.85,1.3,1.0,12,29000,26900,102000,0,157900,0,0,2,340,2,360,2,260,1,130,4,3,62
aegs_sabre_pu_ai_crim,Aegis sabre pu ai crim,3500,0.0,0.4,1.0,2220,0.85,1.3,1.0,12,29000,26900,102000,0,157900,0,0,2,340,2,360,2,220,1,130,6,3,64
aegs_sabre_pu_ai_sec_blacjac,Aegis sabre pu ai sec blacjac,3500,0.0,0.4,1.0,2220,0.85,1.3,1.0,12,29000,26900,102000,0,157900,0,0,2,340,2,360,2,260,1,130,6,3,64
aegs_sabre_pu_ai_sec_hurston,Aegis sabre pu ai sec hurston,3500,0.0,0.4,1.0,2220,0.85,1.3,1.0,12,29000,26900,102000,0,157900,0,0,2,340,2,360,2,260,1,130,6,3,64
aegs_sabre_pu_ai_uee,Aegis sabre pu ai uee,3500,0.0,0.4,1.0,2220,0.85,1.3,1.0,12,29000,26900,102000,0,157900,0,0,2,340,2,360,2,220,1,130,6,3,64
aegs_sabre_pu_ai_xenothreat,Aegis sabre pu ai xenothreat,3500,0.0,0.4,1.0,2220,0.85,1.3,1.0,12,29000,26900,102000,0,157900,0,0,2,340,2,360,2,260,1,130,4,3,63
aegs_sabre_raven,Aegis sabre raven,3500,0.0,0.4,0.2,1500,0.85,1.3,1.0,13,14500,26900,127500,0,168900,0,0,2,410,2,360,2,260,1,130,4,0,60
aegs_sabre_raven_pu_ai_civ,Aegis sabre raven pu ai civ,3500,0.0,0.4,1.0,2220,0.85,1.3,1.0,13,14500,26900,127500,0,168900,0,0,2,410,2,360,2,260,1,130,4,0,60
aegs_sabre_raven_pu_ai_crim,Aegis sabre raven pu ai crim,3500,0.0,0.4,1.0,2220,0.85,1.3,1.0,13,14500,26900,127500,0,168900,0,0,2,410,2,360,2,260,1,130,4,0,60
aegs_vanguard,Aegis vanguard,10000,0.0,0.5,0.2,6000,0.85,1.3,1.0,16,66000,30500,143500,0,240000,0,0,1,750,2,980,2,1160,1,660,6,5,79
aegs_vanguard_ea_ai_pir,Aegis vanguard ea ai pir,10000,0.0,0.5,1.0,6000,0.85,1.3,1.0,16,66000,30500,143500,0,240000,0,0,1,750,2,980,2,1000,1,660,6,5,73
aegs_vanguard_harbinger,Aegis vanguard harbinger,10000,0.0,0.5,0.2,6000,0.85,1.3,1.0,16,66000,30500,143500,0,240000,0,0,1,750,2,1120,2,1000,1,750,7,5,80
aegs_vanguard_harbinger_pu_ai_civ,Aegis vanguard harbinger pu ai civ,10000,0.0,0.5,1.0,6000,0.85,1.3,1.0,16,66000,30500,143500,0,240000,0,0,1,750,2,1120,2,1000,1,750,7,5,80
aegs_vanguard_harbinger_pu_ai_crim,Aegis vanguard harbinger pu ai crim,10000,0.0,0.5,1.0,6000,0.85,1.3,1.0,16,66000,30500,143500,0,240000,0,0,1,750,2,1120,2,1000,1,750,7,5,80
aegs_vanguard_hoplite,Aegis vanguard hoplite,30000,0.0,0.5,0.2,8400,0.85,1.3,1.0,16,66000,30500,143500,0,240000,0,0,1,750,2,980,2,1160,1,660,4,5,72
aegs_vanguard_hoplite_pu_ai_civ,Aegis vanguard hoplite pu ai civ,30000,0.0,0.5,1.0,8400,0.85,1.3,1.0,16,66000,30500,143500,0,240000,0,0,1,750,2,980,2,1160,1,660,4,5,72
aegs_vanguard_hoplite_pu_ai_crim,Aegis vanguard hoplite pu ai crim,30000,0.0,0.5,1.0,8400,0.85,1.3,1.0,16,66000,30500,143500,0,240000,0,0,1,750,2,980,2,1160,1,660,4,5,72
aegs_vanguard_pu_ai_civ,Aegis vanguard pu ai civ,10000,0.0,0.5,1.0,6000,0.85,1.3,1.0,16,66000,30500,143500,0,240000,0,0,1,750,2,980,2,1160,1,660,6,5,79
aegs_vanguard_pu_ai_crim,Aegis vanguard pu ai crim,10000,0.0,0.5,1.0,6000,0.85,1.3,1.0,16,66000,30500,143500,0,240000,0,0,1,750,2,980,2,1000,1,660,6,5,73
aegs_vanguard_pu_ai_sec_blacjac,Aegis vanguard pu ai sec blacjac,10000,0.0,0.5,1.0,6000,0.85,1.3,1.0,16,66000,30500,143500,0,240000,0,0,1,750,2,980,2,1160,1,660,6,5,79
aegs_vanguard_pu_ai_sec_crusader,Aegis vanguard pu ai sec crusader,10000,0.0,0.5,1.0,6000,0.85,1.3,1.0,16,66000,30500,143500,0,240000,0,0,1,750,2,980,2,1160,1,660,6,5,79
aegs_vanguard_pu_ai_sec_hurston,Aegis vanguard pu ai sec hurston,10000,0.0,0.5,1.0,6000,0.85,1.3,1.0,16,66000,30500,143500,0,240000,0,0,1,750,2,980,2,1160,1,660,6,5,79
aegs_vanguard_pu_ai_uee,Aegis vanguard pu ai uee,10000,0.0,0.5,1.0,6000,0.85,1.3,1.0,16,66000,30500,143500,0,240000,0,0,1,750,2,980,2,1160,1,660,6,5,79
aegs_vanguard_pu_ai_xenothreat,Aegis vanguard pu ai xenothreat,10000,0.0,0.5,1.0,6000,0.85,1.3,1.0,16,66000,30500,143500,0,240000,0,0,1,750,2,980,2,1160,1,660,6,5,79
aegs_vanguard_sentinel,Aegis vanguard sentinel,10000,0.0,0.5,0.2,6000,0.85,1.3,1.0,16,66000,30500,143500,0,240000,0,0,1,520,2,600,2,800,1,350,7,5,80
aegs_vanguard_sentinel_pu_ai_civ,Aegis vanguard sentinel pu ai civ,10000,0.0,0.5,1.0,6000,0.85,1.3,1.0,16,66000,30500,143500,0,240000,0,0,1,520,2,600,2,800,1,350,7,5,80
